test_id,gene_id,gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
A1BG,A1BG,A1BG,chr19:58346805-58362848,WT,DSL3,OK,5.43982,6.23956,0.197887,0.335781,0.5623,0.650217,no
A1BG-AS1,A1BG-AS1,A1BG-AS1,chr19:58346805-58362848,WT,DSL3,OK,1.4767,4.26019,1.52854,1.6982,0.0122,0.0261534,yes
A1CF,A1CF,A1CF,chr10:50799408-50885675,WT,DSL3,NOTEST,0,0.0110979,inf,0,1,1,no
A2M,A2M,A2M,chr12:9065176-9115962,WT,DSL3,NOTEST,0.0213635,0,#NAME?,0,1,1,no
A2M-AS1,A2M-AS1,A2M-AS1,chr12:9065176-9115962,WT,DSL3,NOTEST,0,0,0,0,1,1,no
A2ML1,A2ML1,A2ML1,chr12:8822553-8876785,WT,DSL3,NOTEST,0,0,0,0,1,1,no
A2MP1,A2MP1,A2MP1,chr12:9228532-9234207,WT,DSL3,NOTEST,0,0,0,0,1,1,no
A3GALT2,A3GALT2,A3GALT2,chr1:33306765-33321098,WT,DSL3,NOTEST,0,0,0,0,1,1,no
A4GALT,A4GALT,A4GALT,chr22:42692120-42720870,WT,DSL3,OK,0.527786,12.121,4.52141,4.24291,0.0026,0.00674116,yes
A4GNT,A4GNT,A4GNT,chr3:138123717-138132387,WT,DSL3,NOTEST,0.061683,0.0345357,-0.836783,0,1,1,no
AA06,AA06,AA06,chr17:33013087-34156806,WT,DSL3,NOTEST,0,0,0,0,1,1,no
AAAS,AAAS,AAAS,chr12:53307455-53321628,WT,DSL3,OK,11.6542,12.9473,0.151798,0.521911,0.35425,0.450425,no
AACS,AACS,AACS,chr12:125065378-125143325,WT,DSL3,OK,3.61702,1.4035,-1.36577,-2.72815,5.00E-05,0.000189718,yes
AACSP1,AACSP1,AACSP1,chr5:178764860-178776276,WT,DSL3,NOTEST,0,0,0,0,1,1,no
AADAC,AADAC,AADAC,chr3:151733915-151928175,WT,DSL3,NOTEST,0,0,0,0,1,1,no
AADACL2,AADACL2,AADACL2,chr3_GL383526v1_alt:44984-178941,WT,DSL3,NOTEST,0,0,0,0,1,1,no
AADACL2-AS1,AADACL2-AS1,AADACL2-AS1,chr3_GL383526v1_alt:44984-178941,WT,DSL3,NOTEST,0,0,0,0,1,1,no
AADACL3,AADACL3,AADACL3,chr1:12716114-12728759,WT,DSL3,NOTEST,0,0,0,0,1,1,no
AADACL4,AADACL4,AADACL4,chr1:12644546-12667086,WT,DSL3,NOTEST,0,0,0,0,1,1,no
AADACP1,AADACP1,AADACP1,chr3:151733915-151928175,WT,DSL3,NOTEST,0,0,0,0,1,1,no
AADAT,AADAT,AADAT,chr4:170060221-170090387,WT,DSL3,NOTEST,1.21813,0,#NAME?,0,1,1,no
AAED1,AAED1,AAED1,chr9:96641250-96655317,WT,DSL3,OK,15.8822,10.9888,-0.531375,-1.66298,0.00555,0.013048,yes
AAGAB,AAGAB,AAGAB,chr15:67200674-67527303,WT,DSL3,OK,8.55998,10.6731,0.318304,1.28084,0.031,0.0588629,no
AAK1,AAK1,AAK1,chr2:69457994-69643845,WT,DSL3,NOTEST,1.8493,2.4529,0.407509,0,1,1,no
AAMDC,AAMDC,AAMDC,chr11:77821161-77872352,WT,DSL3,OK,14.1421,27.3446,0.951257,1.82033,0.0072,0.0164141,yes
AAMP,AAMP,AAMP,chr2:218264128-218270209,WT,DSL3,OK,25.851,27.5455,0.0915983,0.418257,0.4661,0.56058,no
AANAT,AANAT,AANAT,chr17:76453350-76470117,WT,DSL3,NOTEST,0,0,0,0,1,1,no
AAR2,AAR2,AAR2,chr20:36236416-36256941,WT,DSL3,OK,17.2208,14.5073,-0.247373,-1.05985,0.0695,0.117242,no
AARD,AARD,AARD,chr8:116938224-116944000,WT,DSL3,OK,7.36361,4.73486,-0.637092,-1.73884,0.0052,0.0123363,yes
AARS,AARS,AARS,chr16:70252393-70289509,WT,DSL3,OK,52.5024,49.3041,-0.0906746,-0.459422,0.418,0.515315,no
AARS2,AARS2,AARS2,chr6:44298725-44313326,WT,DSL3,OK,3.84617,4.57747,0.251128,0.860145,0.14275,0.214548,no
AARSD1,AARSD1,AARSD1,chr17:42950525-42980528,WT,DSL3,OK,3.97423,9.61442,1.27452,2.56547,0.00015,0.000523084,yes
AASDH,AASDH,AASDH,chr4:56338284-56387508,WT,DSL3,NOTEST,3.0562,1.91098,-0.677424,0,1,1,no
AASDHPPT,AASDHPPT,AASDHPPT,chr11:106051097-106098692,WT,DSL3,OK,20.0651,24.4162,0.283151,1.47232,0.01245,0.026625,yes
AASS,AASS,AASS,chr7:122073543-122144290,WT,DSL3,NOTEST,0.100833,0.036692,-1.45843,0,1,1,no
AATBC,AATBC,AATBC,chr21:43805757-43812567,WT,DSL3,NOTEST,0.177521,0.136562,-0.378436,0,1,1,no
AATF,AATF,AATF,chr17_KI270857v1_alt:1185239-1293236,WT,DSL3,OK,45.7434,32.5981,-0.488776,-2.60998,5.00E-05,0.000189718,yes
AATK,AATK,AATK,chr17:81035146-81183164,WT,DSL3,NOTEST,0.0363334,0.0203063,-0.839372,0,1,1,no
AATK-AS1,AATK-AS1,AATK-AS1,chr17:81035146-81183164,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABALON,ABALON,ABALON,chr20:31664457-31723409,WT,DSL3,NOTEST,2.21639,2.28477,0.0438362,0,1,1,no
ABAT,ABAT,ABAT,chr16:8674586-8784575,WT,DSL3,NOTEST,0,0.0226807,inf,0,1,1,no
ABCA1,ABCA1,ABCA1,chr9:104781002-104928246,WT,DSL3,NOTEST,0.390171,0.39921,0.0330394,0,1,1,no
ABCA10,ABCA10,ABCA10,chr17:69148006-69327182,WT,DSL3,NOTEST,0.202996,0.426577,1.07136,0,1,1,no
ABCA11P,ABCA11P,ABCA11P,chr4:425434-499171,WT,DSL3,NOTEST,1.23109,2.23622,0.861124,0,1,1,no
ABCA12,ABCA12,ABCA12,chr2:214810228-215138428,WT,DSL3,NOTEST,0.0499387,0.0600166,0.265203,0,1,1,no
ABCA13,ABCA13,ABCA13,chr7:48171459-48647495,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABCA17P,ABCA17P,ABCA17P,chr16:2340921-2426699,WT,DSL3,NOTEST,0.166586,0.188561,0.178758,0,1,1,no
ABCA2,ABCA2,ABCA2,chr9:137007233-137036782,WT,DSL3,NOTEST,3.04629,1.56345,-0.962318,0,1,1,no
ABCA3,ABCA3,ABCA3,chr16:2275877-2340746,WT,DSL3,NOTEST,1.78173,2.51144,0.495237,0,1,1,no
ABCA4,ABCA4,ABCA4,chr1:93992837-94121149,WT,DSL3,NOTEST,0,0.127352,inf,0,1,1,no
ABCA5,ABCA5,ABCA5,chr17:69148006-69327182,WT,DSL3,NOTEST,0.955767,1.17101,0.293028,0,1,1,no
ABCA6,ABCA6,ABCA6,chr17:69078705-69141874,WT,DSL3,NOTEST,0,0.0192079,inf,0,1,1,no
